param_eps,param_min_samples,param_metric,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
1.5,10,euclidean,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.20810675621032715
20,50,l1,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.11369721094767253
3,100,l1,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.10737864176432292
1.5,100,l2,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.20811978975931802
1,50,l2,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.20345664024353027
1,9,l1,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.10073169072469075
0.2,9,l2,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.1861699422200521
0.5,9,l1,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.09574357668558757
3,20,euclidean,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.21309423446655273
0.5,50,l2,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.1964754263559977
5,7,l1,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.10936292012532552
1,20,l1,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.10074178377787273
20,20,l1,0.3638037163395285,0.29356829126399175,0.6574763967806627,0.14036646097393102,0.11369585990905762
20,2,l2,0.10629991575080584,0.03408778156941522,0.28057145301714953,0.004240512665852819,0.23503677050272623
20,20,euclidean,0.09574306850058163,0.02980172785801236,0.2538588864975581,0.003568591146174404,0.23470656077067056
20,50,l2,0.09574306850058163,0.02980172785801236,0.2538588864975581,0.003568591146174404,0.23371060689290366
20,10,l2,0.09574306850058163,0.02980172785801236,0.2538588864975581,0.003568591146174404,0.23470632235209146
20,7,euclidean,0.09574306850058163,0.02980172785801236,0.2538588864975581,0.003568591146174404,0.23504281044006348
50,100,l1,0.09044170042332722,0.029140490209660926,0.2384297096301872,0.0037549014301335236,0.13995631535847983
10,9,euclidean,0.0662811873286845,0.030471314313623626,0.16258690096999504,0.0057853467024348605,0.24468080202738443
