param_bandwidth,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
1.946836466619914,0.664699473334845,0.6173200656836563,0.3837669042015386,0.9930114501193403,1.0698353449503581
49.026253026569364,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,1.003316084543864
38.93672933239828,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,1.113355239232381
97.3418233309957,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.914221445719401
194.6836466619914,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,0.89028533299764
24.46836466619914,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,1.4158984820048015
29.46836466619914,0.4166666666666667,0.25,1.0,2.4173022194182932e-17,1.2410139242808025
8.146127163534253,0.1558340350802667,0.110352784746125,0.3184478030946169,0.03870151740005825,4.1017162799835205
9.46836466619914,0.14516109230214,0.08559549722212598,0.3275052946306892,0.022382485053604857,2.882643222808838
9.794102710045872,0.139142899453032,0.07579536432622204,0.32371285576899717,0.017920478263876712,2.8387718995412192
19.46836466619914,0.12199214737007662,0.032475110530850254,0.330172861923178,0.0033284696562015125,1.5651775201161702
10.906975764647068,0.11802727601667379,0.04878798092524981,0.2972722096440709,0.00802163748070061,2.437842607498169
14.46836466619914,0.11612563411842067,0.04584751049153818,0.29534949551716144,0.0071798963465623655,2.025268872578939
