param_affinity,param_linkage,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
cosine,average,0.15902501351829035,0.14512813769010469,0.2377546673669117,0.09419223549785459,23.95795440673828
euclidean,average,0.15723917513382554,0.14360543459796396,0.234456635653841,0.09365545514967165,23.931917031606037
l2,average,0.15723917513382554,0.14360543459796396,0.234456635653841,0.09365545514967165,23.957950512568157
l1,complete,0.11721027476875506,0.072036529437956,0.2595920822904382,0.020002212577871013,23.989208380381267
manhattan,complete,0.11721027476875506,0.072036529437956,0.2595920822904382,0.020002212577871013,23.999619563420612
cosine,complete,0.08132806586656047,0.06873021755981633,0.1412047951227578,0.03404918491710725,23.98397692044576
l1,average,0.08072413980796715,0.0270030256424844,0.21170125791225697,0.003468135869160096,23.999605735143025
manhattan,average,0.08072413980796715,0.0270030256424844,0.21170125791225697,0.003468135869160096,24.03606152534485
euclidean,complete,0.08031663461820247,0.08011989627738876,0.08586911604109673,0.07496089153612188,24.01525115966797
l2,complete,0.08031663461820247,0.08011989627738876,0.08586911604109673,0.07496089153612188,23.95792857805888
euclidean,single,0.07937136575328602,0.024989236435890662,0.21014922654164703,0.0029756342823203143,23.80694834391276
l2,single,0.07937136575328602,0.024989236435890662,0.21014922654164703,0.0029756342823203143,23.79653509457906
cosine,single,0.07937136575328602,0.024989236435890662,0.21014922654164703,0.0029756342823203143,23.822558005650837
l1,single,0.07785338054249794,0.024480741090466225,0.20616849897091447,0.0029109015661131577,23.78613217671712
manhattan,single,0.07785338054249794,0.024480741090466225,0.20616849897091447,0.0029109015661131577,23.806935628255207
