param_assign_labels,param_affinity,param_n_neighbors,mean_test_refit,mean_test_nm,mean_test_comp,mean_test_homo,mean_fit_time
discretize,nearest_neighbors,50,0.587719950199032,0.5875690301290524,0.6011836697406304,0.5744071507274129,65.81798036893208
kmeans,nearest_neighbors,50,0.5703946707908256,0.5699749271929571,0.5944400392986798,0.5467690458808399,66.09915399551392
discretize,nearest_neighbors,30,0.5214109293172319,0.5209370650637251,0.5487644687269176,0.49453125416105287,66.40117692947388
kmeans,nearest_neighbors,10,0.45457784889923564,0.44682022073106165,0.5588291836069008,0.3580841423597445,64.56827100118001
discretize,nearest_neighbors,10,0.44826341604057685,0.4448636684104481,0.5142374032740012,0.38568917643728107,64.51098434130351
kmeans,nearest_neighbors,15,0.43754680899199705,0.4331328275136055,0.5121546725176456,0.36735292694474,65.60970306396484
discretize,nearest_neighbors,7,0.4275381880484689,0.42201029744331053,0.513798586523787,0.346805680178309,63.183179457982384
discretize,rbf,15,0.425983953682405,0.4228591562968624,0.490613903635311,0.36447880111504166,1.6506578922271729
discretize,rbf,30,0.425983953682405,0.4228591562968624,0.490613903635311,0.36447880111504166,1.6871156692504883
discretize,rbf,3,0.425983953682405,0.4228591562968624,0.490613903635311,0.36447880111504166,1.6298288504282634
discretize,rbf,10,0.425983953682405,0.4228591562968624,0.490613903635311,0.36447880111504166,1.6402429739634197
discretize,rbf,50,0.425983953682405,0.4228591562968624,0.490613903635311,0.36447880111504166,1.65586519241333
discretize,rbf,7,0.425983953682405,0.4228591562968624,0.490613903635311,0.36447880111504166,1.650658130645752
kmeans,nearest_neighbors,7,0.4155734892285252,0.40144434724458467,0.5531138842622063,0.2921622361787848,63.323769330978394
kmeans,rbf,7,0.3769877109656961,0.36696069859265157,0.4878273483353903,0.2761750859690463,1.7339705626169841
kmeans,rbf,10,0.3769877109656961,0.36696069859265157,0.4878273483353903,0.2761750859690463,1.7600048383076985
kmeans,rbf,30,0.3769877109656961,0.36696069859265157,0.4878273483353903,0.2761750859690463,1.7495918273925781
kmeans,rbf,3,0.3769877109656961,0.36696069859265157,0.4878273483353903,0.2761750859690463,1.7912473678588867
kmeans,rbf,50,0.3769877109656961,0.36696069859265157,0.4878273483353903,0.2761750859690463,1.718347708384196
discretize,nearest_neighbors,3,0.07621429501661957,0.05014305152718656,0.16302894767624898,0.015470885846423197,60.43902635574341
